企业名称,岗位名称,招聘人数,用工形式,薪资范围,岗位要求,工作地点,登记开始时间,登记结束时间,招聘联系人,联系人电话,登记机构
北京鲁能物业服务有限责任公司朝阳物业服务中心,会议服务员,1,全职,月薪(元):4600-5500,1.身体健康，身高170cm以上，身材匀称，形象好，气质佳，具有会议服务、高管服务或宴会接待相关工作经验者优先； 2.具备基本礼仪常识及服务意识，大方得体，情商高，无不良嗜好； 3.有良好的沟通能力，责任心强,北京市朝阳区朝阳门外大街5号院1号楼1层101室,25/5/2026,25/6/2026,李*师,1500134****,朝外街道
北京今日东方人力资源服务有限公司,信息化及软件工程化设计,3,全职,月薪(元):6000-8000,信息化及软件工程化设计岗（1）至少掌握c++等一门编程语言；（2）具备独立承担信息化软硬件建设和网络维护的能力；（3）具备信息化有关报告编制能力，对工程技术有一定了解的优先。系统设计岗（1）初级及以上职称；（2）良好的热工水力专业知识基础；（3）具备热工、机械设计、化工过程设备设计、化工工艺设计能力。,北京市房山区良乡国槐街2号1号楼-131、132,8/6/2026,8/7/2026,陈*师,1660117****,良乡地区
北京阳光溢彩科技有限公司,管理会计,1,全职,月薪(元):5000-8000,"1、财务、会计、金融、投资、管理等专业本科以上学历，具备会计中级/注册会计师职称者优先考虑。知名企业担任财务经理或以上职位五年以上，有上市公司或跨国公司财务管理经验者优先考虑；
2、熟悉国家金融政策、企业财务制度及流程、会计电算化，精通相关财税法律法规；
3、具备优秀的数据分析能力和较强的成本管理、风险管理意识，能够及时发现和评估公司面临的财务风险，并采取有效措施加以控制；
4、能够为公司的投资决策、预算制定等提供关键财务建议和支持，确保公司财务战略的正确性和有效性；
5、工作细致，责任感强，良好的组织、协调、沟通能力和团队协作精神，能承受较大工作压力。",北京市平谷区农业中关村现代食品营养谷（中关村科技园区平谷园平旺街46号院10号楼）,20/4/2026,18/6/2026,崔*生,1314681****,平谷区
鲁西人力资源（北京）有限公司,生产部文员,4,全职,月薪(元):5000-6000,"""1. 性别：女，年龄20-26周岁；
2. 学历：高中及以上学历；
3. 形象要求：身高165cm以上，五官端正，形象气质佳；
4. 技能要求：熟练使用Word、Excel、PPT等办公软件，具备基础的公文写作与数据处理能力；
5. 其他要求：工作认真细致、责任心强，具备良好的沟通协调能力与服务意识，能适应倒班工作制，无不良从业记录。""",北京市北京经济技术开发区中芯国际厂区,9/4/2026,4/7/2026,范*生,1730259****,经济技术开发区
北京我爱我家房地产经纪有限公司第五十三分公司,新房置业顾问,10,全职,月薪(元):6000-6000,良好的沟通能力。,北京市通州区通朝大街105号院新华联家园北区底商,1/6/2026,31/7/2026,韩*理,1339177****,新华街道
北京今日东方劳务派遣有限公司,养老护理员,2,全职,月薪(元):4000-4500,五官端正，形象良好，有爱心责任心，随时听从领导安排,北京市房山区良乡北潞园小区北潞春家园C6楼东侧20米,13/4/2026,16/6/2026,李*花,8939****,新镇街道
北京金色阳光养殖中心,畜牧师,30,全职,月薪(元):2800-3000,了解畜牧业知识，爱岗敬业，服从管理,北京市平谷区马昌营镇薄各庄村北1800米,18/5/2026,18/6/2026,李*龙,6198****,马昌营镇
北京金府春秋物业管理服务有限公司,综合维修,5,全职,月薪(元):5000-6000,"1.持有有效期内的低压电工本优先。
2.有商业、小区物业近似岗位工作优先。
3.熟练使用办公软件。",北京市石景山区金府南路89号院4号楼1层4-4,8/12/2025,9/7/2026,舒*师,1381077****,石景山区
北京航云机械制造有限公司,加工中心操作,5,全职,月薪(元):5000-12000,有立加，卧加，五面体加工经验，能适应倒班安排。,北京市密云区河南寨镇下屯村,22/5/2026,22/6/2026,张*青,1324187****,十里堡镇
北京德茂家政服务有限公司,新媒体运营,2,全职,月薪(元):8000-15000,专科及以上学历，2年以上新媒体经验，熟悉各平台算法、具备内容策划与数据分析能力，抗压沟通能力强，有本地生活/家政行业经验或孵化案例者优先,北京市大兴区黄村镇团河苑小区围墙外东侧50米团河鑫发农副食品市场A区15号,21/5/2026,21/6/2026,杨*,1391169****,昌平区
北京欧豪汽车贸易有限公司,厨师助理/学徒,1,全职,月薪(元):3500-4200,干净、卫生,北京市大兴区长子营镇长通路4号,28/1/2026,30/6/2026,张*,1569973****,大兴区
北京欧豪汽车贸易有限公司,机械设计师,2,全职,月薪(元):4000-6000,本科及以上、机械设计相关专业,北京市大兴区长子营镇长通路4号,28/1/2026,30/6/2026,张*,1569973****,大兴区
北京欧豪汽车贸易有限公司,机械维修/保养,2,全职,月薪(元):4000-6000,职高学历及以上，汽车相关专业,北京市大兴区长子营镇长通路4号,28/1/2026,30/6/2026,张*,1569973****,大兴区
北京江合科技发展有限公司,大客户销售经理,1,全职,月薪(元):6000-12000,1.经验硬性指标：必须具备铁建商城（或中铁鲁班网、中交供应链等同类大型建筑央国企平台）的销售或运营经验，熟悉MRO工业品（如劳保、五金、化工、紧固件、工具等）类目者优先。2.行业认知：了解建筑施工行业的物资采购流程，熟悉招投标流程及合同执行规范。3.资源能力：自带中铁建系统内项目资源或大客户资源者优先考虑，待遇可面议。4.综合素质：具备较强的抗压能力、商务谈判能力，能适应短期出差（至各项目部现场拜访）。5.学历要求：大专及以上学历，专业不限（市场营销、电子商务、机械类相关专业更佳）。,北京经济技术开发区(大兴)瀛吉街11号院3号楼5层501-5,27/3/2026,30/6/2026,任*娜,1512733****,大兴区
北京中交工程仪器研究所,大客户销售经理,3,全职,月薪(元):4000-10000,-大专及以上学历。-13年及以上项目管理、项目助理、产品助理相关经验。,北京市大兴区观音寺街道盛坊路2号2号楼501室,20/4/2026,30/6/2026,张*凤,1561127****,大兴区
北京久峰月季酒店,保洁,2,全职,月薪(元):3000-3500,学历不限，经验不限。,大兴区魏新街19号,22/4/2026,20/7/2026,张*未,1851001****,大兴区
北京米毛智能科技有限公司,采购员,2,全职,月薪(元):4500-6000,1.大专及以上学历，党员优先；2.1-3年采购相关工作经验；3.熟练使用Excel、word等办公软件；4.为人诚信，认真细致，具有良好的职业道德和职业操守；5.具有较强的逻辑思维能力和表达沟通能力。,北京市大兴区庞各庄镇瓜乡路32号院,23/4/2026,30/6/2026,米*生,1860128****,大兴区
北京康美制药有限公司,普工/操作工,5,全职,月薪(元):4000-6000,1、初中以上学历，专业不限；2、有过药品生产操作工工作经验，熟悉药品生产质量规范者优先；3、良好的理解能力，做事认真仔细，能吃苦服从分配。,大兴区生物医药基地永旺路31号康美药业,29/4/2026,28/7/2026,董*,1316751****,大兴区
北京迪安医学检验实验室有限公司,大客户销售代表,2,全职,月薪(元):12000-20000,1、本科及以上学历，5-10年同行业相关工作经验；医学背景优先。2、具备三甲医院IVD销售经验，熟悉肿瘤相关诊断产品或诊断项目者优先。3、拥有医疗领域项目开发入院经验。,大兴区天荣大街21号院3号楼迪安诊断,6/5/2026,30/6/2026,高*,1891197****,大兴区
北京呀路古热带植物园有限责任公司,咖啡师,1,全职,月薪(元):5000-10000,"1.具备咖啡师岗位实操经验，熟练掌握磨豆、萃取、拉花等核心技能，能独立完成全流程饮品制作。	2.熟悉不同咖啡豆的风味特质与冲泡逻辑，能根据游客需求提供专业推荐，具备问题分析与解决能力。	3.拥有良好的服务意识与团队协作精神，善于通过细节服务传递咖啡文化，提升游客满意度。	4.对食品卫生与环境整洁有高度责任心，能严格遵守操作规范，具备自我管理与流程执行能力。",北京市大兴区长子营镇周营村村委会西200米,7/5/2026,30/6/2026,丛*生,1391024****,大兴区
北京国兰生物制药有限公司,国际商务专业人员,2,全职,月薪(元):6000-12000,（1）本科及以上学历，医学/药学/兽医等相关专业；（2）具有相应的专业知识，能够熟悉产品研发流程，了解产品基本原理；（3）熟悉医疗器械产品注册及质量体系管理的法律法规和技术要求；（4）具有良好的文字表达能力及扎实的撰写功底，能够熟练撰写相关文件。,北京中关村医疗器械园6号楼中段5层608房间,13/5/2026,13/7/2026,许*生,1980185****,大兴区
北京童之乐教育科技有限公司,外语教师,10,全职,月薪(元):5000-8000,任职资格:1、英语等专业本科及以上学历。2、喜欢孩子，热爱儿童教育事业，形象气质佳，能吃苦耐劳。3、语言表达能力较好，具有亲和力，英语口语流利。4、工作积极主动，并有很强的执行力和团队精神。, 北京市丰台区西铁营中路1号院1号楼-5至16层101内3层3F-C,14/5/2026,31/7/2026,张*师,1381004****,大兴区
北京亮亮成业餐饮管理有限责任公司,中餐厨师,20,全职,月薪(元):5000-7500,身体健康，有责任心，有工作经验优先,北京市大兴区黄村镇龙河路东侧2号,17/5/2026,30/6/2026,张*,1861022****,大兴区
北京资原科技集团有限公司,市场营销专业人员,2,全职,月薪(元):10000-15000,1、具有新媒体管理经验，对社会化媒体传播形式有丰富的实操经验，在互联网平台有一定的渠道、推广资源；2、具备良好的创意能力以及审美能力，文字功底扎实，擅长多种文风；3、熟悉网络媒体传播特点，对社会化媒体传播有独到的理解与驾驭；4、具备敏锐的市场洞察力、良好的沟通能力、执行能力和团队管理能力。,北京市经济技术开发区荣华南路1号院国锐广场,19/5/2026,30/6/2026,李*,1760013****,大兴区
北京呀路古热带植物园有限责任公司,播音员,1,全职,月薪(元):5000-10000,1、具有1年以上抖音直播经验，有旅游景区直播经验者优先考虑。2、具有较强的沟通表达能力和应变能力。3、具有良好的团队合作精神。,北京市大兴区长子营镇周营村村委会西200米,20/5/2026,30/6/2026,丛*生,1391024****,大兴区
北京超弦存储器研究院,器件研发工程师,5,全职,月薪(元):5000-15000,专业为微电子与固体电子学 /电子科学与技术等,北京经济技术开发区科创十街18号院11号楼四层401室,1/5/2026,11/7/2026,王*师,1660107****,经济技术开发区
中材建设有限公司,安全工程师,4,全职,月薪(元):21000-30000,安全工程,北京市大兴区隆庆街7号中材大厦,1/5/2026,1/7/2026,毛*梅,1863319****,经济技术开发区
乐普（北京）医疗器械股份有限公司,质检员,5,全职,月薪(元):4000-6000,洁净车间质检员：有责任心，能吃苦耐劳，有生产车间经验者优先。,平谷区马坊工业园区21号员5号楼-普峰医疗创新谷,11/6/2026,11/7/2026,姜*燕,1580164****,平谷区
北京超弦存储器研究院,OPC 应用工程师,5,全职,月薪(元):5000-15000,专业为计算机科学与技术/软件工程师/电子信息等,北京经济技术开发区科创十街18号院11号楼四层401室,1/5/2026,11/7/2026,王*师,1660107****,经济技术开发区
北京宏伟兴业汽车销售有限公司,新媒体运营经理,1,全职,月薪(元):6000-9000,1、策略规划与目标制定：依据品牌及公司特性制定新媒体平台的整体发展战略和运营计划，明确各平台（如微信公众号、微博、抖音、小红书等）的定位、内容方向、运营模式和增长目标，确保与公司整体营销战略保持一致。2、内容创作与管理：主导策划、创作、审核和发布流程，确保内容的质量、风格、价值观与品牌形象相符，且具有吸引力、实用性和传播性。不断探索新的内容形式和表现手法，如短视频、直播、互动笔记等，以丰富新媒体平台的内容生态，提高用户的参与度和留存率。,北京市平谷区东高村镇东高村兴业路15号,5/2/2026,26/6/2026,段*楠,1501002****,平谷区
北京碧水物业管理有限责任公司,保安员,4,全职,月薪(元):3400-4800,身体健康，无前科，对工作认真负责，无明显文身,北京市昌平区回龙观镇碧水庄园综合楼307号,25/5/2026,25/6/2026,杨*莉,6973****,延寿镇
中检车服检测技术（北京）有限公司,前台接待人员,1,全职,月薪(元):5000-8000,"1、具有1年及以上客户接待沟通相关工作经验； 
2、熟悉客户沟通基本流程与交涉技能；
3、具备良好的沟通能力和团队协作精神。",北京市北京经济技术开发区（通州）马桥路301号,27/5/2026,27/6/2026,孙*,6101****,马驹桥镇
北京金宇洲保安服务有限公司,办公室文员,2,全职,月薪(元):5000-8000,大专及以上学历，办公软件能够熟练应用，会PS。,北京市丰台区芳菲路60号院2号楼4层,3/6/2026,3/7/2026,徐*师,1851530****,成寿寺街道
北京六必居怀柔食品有限公司,普工/操作工,4,全职,月薪(元):3000-5000,"1、身体健康，有食品健康证，符合食品卫生从业人员要求；
2、吃苦耐劳，能适应早中班，能配合生产加班，服从领导生产安排；
3、有责任心，认真负责。有团队意识，沟通顺畅，服从管理，做事细心，手脚麻利；
4、遵纪守法，无违法记录，无不良嗜好。",北京市怀柔区雁栖经济开发区雁栖西一路19号,15/5/2026,15/6/2026,吴*莲,6166****,雁栖地区
北京美宝旅游服务中心（个体工商户）,家政人员,2,全职,月薪(元):5000-10000,根据公司安排到用户家庭服务,北京市昌平区回龙观镇龙泽苑东区16号楼1层06,21/5/2026,21/6/2026,王*生,1840161****,昌平区
北京市京阳劳务服务有限公司,货车司机,4,全职,月薪(元):4000-5000,高中中专以上学历，C本以上驾照，5年以上实际驾驶经验（无任何交通违章记录）；遵纪守法，无不良社会记录，熟悉北京路况，服从指挥，无嗜酒劣习；,北京市朝阳区高碑店乡高碑店村三区19号楼6号二层201室,30/12/2025,7/7/2026,王*理,1580152****,常营地区
北京京平绿谷人力资源管理有限公司,保洁员,3,全职,月薪(元):2540-3000,保洁员：身体健康，能吃苦耐劳。,北京市平谷区新平北路五号院6号楼1层6-2,21/4/2026,18/6/2026,李*一,1851336****,平谷区
北京北方华创微电子装备有限公司,北方华创微电子-系统工程师-2026校园招聘(J14563),5,全职,月薪(元):10000-20000,1.理工科专业背景：机械、电气、电子、微电子、仪器、测控、通信等相关专业，统招硕士研究生学历应届毕业生； 2.备跨学科技术理解能力，对机械、电气、射频等至少两个领域有扎实的理论基础或项目实践经验； 3.能够熟练运用Office等办公软件进行数据分析、技术文档编写与项目汇报，具备良好的信息整合与呈现能力； 4.在校期间具有多学科交叉课程学习、科研或项目经历者优先； 5.具备系统思维与整体架构意识，能够从产品全局视角理解并协调机械、电气、射频等多领域技术需求； 6.具备快速学习与适应能力，能主动跟踪前沿技术动态，持续拓展技术视野并提升系统设计能力； 7.特别优秀者可放宽条件。,北京市大兴区北京市大兴区文昌大道8号,1/5/2026,1/7/2026,杨*粟,1358181****,经济技术开发区
涞水沁福道商贸有限公司,销售,10,全职,月薪(元):4500-8000,1.表达清晰，能顺畅和客户交流，准确传递信息 ，耐心倾听需求。 2.抗压性强，面对拒绝和业绩压力仍保持积极，坚持完成任务。 3.本科以上学历 4.跟进有意向客户，推动销售流程，完成交易。 5.回访老客户，处理售后问题，提升满意度，促进再次购买和推荐新客户。,北京市石景山区景山财富中心A座608,12/6/2026,12/7/2026,张*,1381006****,古城街道
北京鑫利源家政服务有限公司,家政经纪人,5,全职,月薪(元):6000-10000,"沟通能力，有亲和力的
表达逻辑性强，吃苦耐劳，??团队意识实际工作地点：良乡北关",北京市房山区青龙湖镇坨里村村委会东35米,28/5/2026,28/6/2026,孙*,1352033****,西潞街道
诺言（天津）企业管理有限公司,品牌商务专员,10,全职,月薪(元):7000-9999,,天津市河东区嘉里中心企业广场1504,26/5/2026,25/6/2026,周*士,1333206****,
天津市辰恺教育科技有限公司,ERP实施顾问,20,全职,月薪(元):5000-6999,,天津市北辰区果园新村街金玺大厦,26/5/2026,25/6/2026,1*131302668,1863139****,
北京圣伦食品有限公司,电工,2,全职,月薪(元):5000-7000,"1、有效期内健康证及电工特种操作证书；
2、具有2年以上工厂电气维修经验；
3、能够适应12小时倒班/夜班、能接受临时性加班抢修。",北京市怀柔区庙城镇高各庄村336号,25/5/2026,25/6/2026,方*,1501147****,怀北镇
北京隆盛环境工程有限公司,保洁员,85,全职,月薪(元):4600-4700,有健康证，无犯罪记录，吃苦耐劳，服从安排，朝阳区写字楼就近安排，有写字楼保洁经验优先。,北京市朝阳区建国路乙118号京汇大厦,2/6/2026,2/7/2026,申*理,1391148****,广安门外街道
北京金港源清洗保洁服务有限公司,清洗工,20,全职,月薪(元):4500-5000,具备基本文字读写能力，沟通顺畅，执行力强。,北京市大兴区大兴机场内航空公司配餐园区,9/6/2026,9/7/2026,刘*理,1360114****,首都机场街道
北京祺玥美健康管理有限公司,美容美体师,2,全职,月薪(元):3000-8000,要求2年以上经验,北京市房山区良乡苏园小区9号楼1层5-102,15/5/2026,15/6/2026,王*理,1371827****,西潞街道
北京隆盛环境工程有限公司,保洁员,100,全职,月薪(元):3500-4800,身体健康，形象好！无犯罪记录，服从管理安排，节假日轮班。丰台区写字楼就近安排。,北京市丰台区丽泽商务区中设大厦金泽路165号,11/6/2026,11/7/2026,申*理,1391148****,广安门外街道
北京奈亚信息技术有限公司,中控员,1,全职,月薪(元):7000-8000,身体健、康五官端正体态匀称,北京市密云区溪翁庄镇荞麦峪村东北路临84号101室,11/6/2026,11/7/2026,郝*新,1381127****,溪翁庄镇
北京鑫利源家政服务有限公司,保洁,20,全职,月薪(元):3000-4000,负责家庭日常、深度保洁，家庭、单位，新居的开荒保洁。,北京市房山区青龙湖镇坨里村村委会东35米,19/5/2026,19/6/2026,孙*师,1352033****,城关街道
北京红秀坊网络科技有限公司,视频主播,10,兼职,月薪(元):3000-10000,"会唱会跳会聊天都可以！
不用内卷，不用熬夜！
你的特长，就是流量密码！",北京市朝阳区高碑店乡高碑店村三区2号楼5号二层201室,11/6/2026,11/7/2026,高*士,1381036****,朝阳区
北京泽惠小额贷款有限责任公司,房地产经纪人,20,全职,月薪(元):3000-4000,有相关工作经验者优先，其他面议。,北京市密云区新中街181号5层,2/6/2026,16/6/2026,马*,1391163****,密云镇
北京规尺标准化技术服务有限公司,销售专员,30,全职,月薪(元):4000-9000,1、有较强的沟通力，开朗善于表达 2、有过销售经验优先,北京市石景山区中铁创业大厦B座807（S1/1/6号线直达）,22/5/2026,22/6/2026,张*士,1841027****,门头沟区
德润鑫丰（北京）劳务派遣有限公司,客服管理员,2,全职,月薪(元):6000-7000,"1.专科及以上学历，1 年政务物业客服经验优先；
2.熟练办公软件，会制作报表文档；
3. 形象良好善于沟通，可临时加班。",北京市房山区卓秀北街6号院6号楼10层1009,4/6/2026,4/7/2026,梁*师/张老师,13331007995/1781300****,永宁镇
北京欧豪汽车贸易有限公司,大客户销售代表,5,全职,月薪(元):4000-6000,大专学历及以上,北京市大兴区长子营镇长通路4号,28/1/2026,30/6/2026,张*,1569973****,大兴区
上海克万机械设备技术服务有限公司,技工,5,全职,月薪(元):4000-7000,身体健康，吃苦耐劳，涂装车间需穿连体服及佩戴劳防用品,北京市大兴区博兴路8号北京奔驰2号门,28/1/2026,30/6/2026,杨*士,1891149****,大兴区
北京中交工程仪器研究所,商务策划专业人员,2,全职,月薪(元):4000-6000,1年内相关工作经验，无销售性质普通话标准，熟练操作办公软件具备基本电话及网络沟通能力,北京市大兴区观音寺街道盛坊路2号2号楼501室,15/4/2026,30/6/2026,张*凤,1561127****,大兴区
北京文喜科技发展有限公司,电工,10,全职,月薪(元):6000-8000,（1）高中（中专）及以上学历，电子信息、通信、电气工程、计算机、楼宇智能化、机电一体化等相关或相近专业毕业，相关专业应届毕业生优先考虑；（2）有弱电系统、UPS系统、信息机房系统维护或维修工作经历者优先考虑；有机场相关工作经历的优先考虑；（3）持有低压电工作业操作证，同时持有有限空间作业操作证或华为HCIA证书者优先考虑；（4）具备一定计算机使用能力，可熟练操作Word、Excel等基础办公软件；（5）身体健康，吃苦耐劳，服从管理，工作认真负责，应急处理能力较强，能够适应轮休倒班制度；（6）表达能力突出，具备良好的团队协作能力、服务意识、沟通能力及学习能力；（7）符合机场隔离区证件办理要求，本人及父母、配偶无犯罪记录、行政拘留记录等情况。,大兴国际机场,3/6/2026,15/6/2026,程*玲,1506576****,大兴区
北京中科慧乐科技有限公司,教学/教务管理人员,1,全职,月薪(元):8000-12000,1.学历不限，有教育行业招生、市场推广经验者优先；2.具备吃苦耐劳精神，敢于挑战目标，能适应外出地推等工作；3.沟通表达能力强，亲和力佳，善于捕捉家长需求，有良好的客户服务意识；4.积极主动，责任心强，具备团队协作精神，能承受一定的工作压力。,北京市大兴区丽园路9号301,26/4/2026,25/7/2026,魏*,1391059****,大兴区
北京润健京康医院管理有限公司,生产运营管理,2,全职,月薪(元):4000-6000,统筹协调能力强,北京市大兴区亦庄镇景园街6号凯诚工业园26-1-3-301,27/4/2026,1/7/2026,刘*燕,1873001****,大兴区
北京恩泽康泰生物科技有限公司,医药技术研发人员,2,全职,月薪(元):25000-26666,2026届或近一年内毕业的博士，细胞生物学、药理学、分子生物学等相关专业。具备扎实的独立科研与实验设计能力。在细胞株构建（慢病毒、CRISPR等）、外泌体、纳米递送、药效模型等领域有研究基础者优先。以第一作者发表过高水平论文，对创新药研发与产业化有浓厚兴趣。,北京市大兴区中关村科技园区大兴生物医药产业基地宝参南街 16 号院 2 号1层101,29/4/2026,7/7/2026,迟*士,1760102****,大兴区
北京山水恒泰商贸有限公司,网络/在线销售,30,全职,月薪(元):5500-20000,"1学历不限，热爱销售工作，勇于挑战自我
2具有金融行业经验丰富或相关从业经验丰富者优先，无经验者也不用担心，入职后会有经理手把手带起来!
3.有良好的团队意识，有责任心，吃苦耐劳!
4.具有一定的市场分析和判断能力，良好的客户服务沟通意识，公司提供资源!
5.工作方式是微信营销，通过微信和客户沟通联络，不打电话!",北京市朝阳区西大望路1号1号楼17层2010室,3/6/2026,3/7/2026,李*恒,1833597****,琉璃庙镇
北京粤荣记餐饮管理有限公司,餐饮服务员,3,全职,月薪(元):4000-6000,,北京市北京市顺义区粤荣记·广东顺德菜(顺义石园店)1301,25/6/2025,25/6/2026,黄*良,1821064****,
北京雅客之家酒店投资管理有限公司,客房服务,1,全职,月薪(元):3000-5000,,北京市北京市顺义区雅客之家宾馆(北京理想汽车基地石园店),30/6/2025,30/6/2026,田*荣,1381173****,
北京大鹏和他的朋友们文化艺术交流有限公司,帮厨,1,全职,月薪(元):3500-4000,,北京市北京市顺义区北京祥福瑞食品研究院有限公司,30/6/2025,30/6/2026,蒋*鹏,1521008****,
聚和顺(北京)餐饮管理有限公司,台球助教，服务员,3,全职,月薪(元):4000-10000,,北京市北京市顺义区星湖MIX酒吧·台球·棋牌,5/7/2025,5/7/2026,任*毅,1899380****,
北京乐涛优美商贸中心,生鲜理货员,1,全职,月薪(元):4700-5000,,北京市北京市石景山区金顶北路18号7栋1层110号,8/7/2025,8/7/2026,张*梅,1368334****,
中国石化销售股份有限公司北京顺义国平加油站,中国石化顺义国平加油站,1,全职,月薪(元):3000-6000,,北京市北京市顺义区中国石化加油站(三联站),15/7/2025,15/7/2026,刘*敏,1381154****,
北京共生岛人力资源有限公司,会计,3,全职,月薪(元):6000-8000,,北京市北京市石景山区八大处路49号院,22/7/2025,22/7/2026,陈*,1352084****,
北京佳豪果蔬有限公司,收银员,2,全职,月薪(元):4000-5000,,北京市北京市顺义区娟子果蔬生活超市(第八分店),24/7/2025,24/7/2026,巩*肖,1831128****,
北京丽杰园餐饮有限公司,面点,1,全职,月薪(元):5000-6000,,北京市北京市顺义区玄兴包子(俸伯店),31/7/2025,31/7/2026,顾*玉,1391105****,
北京薪北植德北辛安口腔门诊部有限公司,口腔市场地推,3,全职,月薪(元):4500-12000,,北京市北京市石景山区新北口腔(北辛安分院),11/8/2025,11/8/2026,于*洁,1883042****,
北京共生岛人力资源有限公司,铁路维管员,50,全职,月薪(元):4000-8000,,北京市北京市石景山区中海地产海纳万商,28/8/2025,28/8/2026,陈*,1352084****,
北京中宇特卫保安服务有限公司,财务,1,全职,月薪(元):4000-6000,,北京市北京市石景山区景阳写字楼,28/8/2025,28/8/2026,王*燕,1391024****,
北京共生岛人力资源有限公司,三轮车/二轮车快递员,30,全职,月薪(元):7000-10000,,北京市北京市石景山区中海地产海纳万商,28/8/2025,28/8/2026,陈*,1352084****,
北京东方饺子王人合餐饮有限公司,服务员,1,全职,月薪(元):4000-6500,,北京市北京市顺义区美廉美(顺义石园店),19/9/2025,19/9/2026,段*亨,1884281****,
北京京泰食尚餐饮有限公司,早班,1,全职,月薪(元):4000-5000,,北京市北京市石景山区中铁创业大厦B座10A厅,15/10/2025,15/10/2026,高*宗,1874760****,
北京巴蜀神话餐饮管理有限公司,服务员,10,全职,月薪(元):4500-5000,,北京市北京市石景山区八角南路社区,23/10/2025,23/10/2026,涂*梅,1335028****,
北京巴蜀神话餐饮管理有限公司,传菜员,2,全职,月薪(元):4500-4800,,北京市北京市石景山区八角南路社区,25/10/2025,25/10/2026,涂*梅,1335028****,
北京麦乐汇餐饮服务有限公司,厨师,3,全职,月薪(元):4500-5500,,北京市北京市顺义区麦乐汇KTV(祥云小镇店),28/10/2025,28/10/2026,简*敏,1887908****,
北京共生岛人力资源有限公司,研学旅行老师,20,全职,月薪(元):8000-10000,,北京市北京市石景山区八大处路49号院,29/10/2025,29/10/2026,陈*,1352084****,
北京共生岛人力资源有限公司,硬件销售经理,10,全职,月薪(元):4000-8000,,北京市北京市石景山区中海地产海纳万商,29/10/2025,29/10/2026,陈*,1352084****,
北京亨通嘉业物业管理服务有限公司,综合维修工,1,全职,月薪(元):5000-6000,,"北京市北京市丰台区花乡世界名园1号院
",7/11/2025,7/11/2026,魏*,1870166****,
北京市石景山区赞嘉世快餐店(个体工商户),后厨,1,全职,月薪(元):4700-5500,,北京市北京市石景山区永辉广场(鲁谷店)永辉超市一层嘉世麻辣香锅,15/11/2025,15/11/2026,王*,1784833****,
北京羽之翼酒店管理有限公司后沙峪分店,保安,1,全职,月薪(元):3000-3500,,北京市北京市顺义区速8酒店(北京新国展首都机场后沙峪店)后沙峪裕民大街32号,7/12/2025,7/12/2026,王*红,1314138****,
北京凯宸酒店管理有限公司,酒店客房服务员,2,全职,月薪(元):3500-6000,,北京市北京市石景山区中铁创业大厦B座北门,15/12/2025,15/12/2026,李*霞,1352254****,
北京德利餐饮有限公司,服务员,2,全职,月薪(元):3000-3500,,北京市北京市顺义区山河屯铁锅炖(顺义店),11/7/2025,11/7/2026,张*,1735553****,
北京浩鑫餐饮服务中心(个体工商户),服务员,3,全职,月薪(元):5000-5500,,北京市北京市顺义区绿港家园一区-10号楼,4/8/2025,4/8/2026,温*,1513053****,
北京玮杰口腔诊所有限公司,助手,1,全职,月薪(元):2420-5000,,北京市北京市石景山区西山枫林三期166-51,14/8/2025,14/8/2026,徐*霞,1371817****,
瑞幸咖啡(北京)有限公司顺平路第一咖啡店,饮品制作,2,全职,月薪(元):4000-5000,,北京市北京市顺义区旭辉·空港中心104-1,5/3/2025,31/10/2026,王*辉,1580152****,
北京小湘界餐饮服务有限公司,北京小湘界餐饮服务有限公司,5,全职,月薪(元):5000-7000,,北京市北京市顺义区蜜雪冰城(酒仙桥店)14号37幢一层1007号,16/3/2026,16/3/2027,于*超,1511018****,
北京生数科技有限公司,增长运营,1,全职,月薪(元):15000-25000,"1. 3–5年以上海外效果投放经验；
2. 具备SEM实操能力，熟悉Google Ads。",北京市海淀区中关村东路8号原点大厦AB座八层801A单元 ,5/6/2026,20/6/2026,付*伟,010-6257****,永定路街道
北京万家瑞药业有限责任公司,药师,2,全职,月薪(元):4000-7000,"1、药学专业中专及以上；
2、需持有药士或药师资格证书；
3、具备 1 年及以上医疗机构药房实操工作经验者优先；
4、工作认真严谨、责任心强，遵守医药行业规章制度，具备良好服务意识。",平谷区金乡西小区三层底商东8号,28/4/2026,3/7/2026,刘*士,1891133****,平谷区
北京幽岚山旅游开发有限公司,中餐厨师,1,全职,月薪(元):6000-9000,擅长家常菜.鲁菜。特色炖菜身体健康无不良嗜好,北京市房山区周口店镇黄山店村村委会南50米,3/6/2026,3/7/2026,刘*士,1352218****,周口店地区
北京福祥瑞鼎科贸有限公司,助理/秘书/文员,2,全职,月薪(元):4000-5000,"1.具有团队合作精神，做事细致耐心，工作积极主动；
2.具备良好的沟通协调能力和一定的抗压能力；",北京市昌平区建材城西路87号2号楼17层1单元1728,3/6/2026,3/7/2026,周*学,1330118****,回龙观街道
涞水沁福道商贸有限公司,运营,10,全职,月薪(元):5000-10000,"1.表达清晰，抗压性强，坚持完成任务。
2.本科以上学历",北京市石景山区景山财富中心A座608,12/6/2026,12/7/2026,张*,1381006****,古城街道
